name,genotype,age,sex,weight,rotation,shift,PFC file,mrspfc_exclude,,CrCH2,Ala,Asp,Cr,GABA,Glc,Gln,GSH,Glu,GPC,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,sIns,Tau,tNAA,tCr, tCho,Glx,tLM09,tLM13,tLM20,,CrCH2_stdev,Ala_stdev,Asp_stdev,Cr_stdev,GABA_stdev,Glc_stdev,Gln_stdev,GSH_stdev,Glu_stdev,GPC_stdev,Ins_stdev,Lac_stdev,Lip09_stdev,Lip13a_stdev,Lip13b_stdev,Lip20_stdev,MM09_stdev,MM12_stdev,MM14_stdev,MM17_stdev,MM20_stdev,NAA_stdev,NAAG_stdev,PCh_stdev,PCr_stdev,sIns_stdev,Tau_stdev,tNAA_stdev,tCr_stdev, tCho_stdev,Glx_stdev,tLM09_stdev,tLM13_stdev,tLM20_stdev,,CrCH2_tCR,Ala_tCR,Asp_tCR,Cr_tCR,GABA_tCR,Glc_tCR,Gln_tCR,GSH_tCR,Glu_tCR,GPC_tCR,Ins_tCR,Lac_tCR,Lip09_tCR,Lip13a_tCR,Lip13b_tCR,Lip20_tCR,MM09_tCR,MM12_tCR,MM14_tCR,MM17_tCR,MM20_tCR,NAA_tCR,NAAG_tCR,PCh_tCR,PCr_tCR,sIns_tCR,Tau_tCR,tNAA_tCR,tCr_tCR,tCho_tCR,Glx_tCR,tLM09_tCR,tLM13_tCR,tLM20_tCR
FID_024_18 ,HET,pnd30,M,18.9,180,-2,18,N,,3.328068,0,3.779254,5.264224,22.39157,2.173953,0,2.502167,34.08208,3.18014,10.61843,0,0,5.098494,0,18.36602,14.6836,9.868811,34.6288,12.96439,107.992,4.762471,2.383057,2.394319,3.505167,0,39.38143,7.145528,8.769391,5.574459,34.08208,14.6836,49.5961,126.358,,1.901482,1.395495,3.08516,1.563776,3.10117,3.030837,2.736265,1.357685,4.067475,1.126067,3.219758,1.314603,84.52177,99.62979,16.29926,23.14534,98.46065,130.7957,60.8975,16.07522,31.22618,1.532521,1.396255,1.021677,1.638772,0.1987558,4.639548,0.9547456,0.762853,0.2081951,2.222102,2.904036,9.105257,9.56077,,0.3795095919,0,0.4309596869,0.6002952771,2.553377994,0.2479023914,0,0.2853296198,3.886481969,0.3626409177,1.210851472,0,0,0.5813965873,0,2.094332434,1.674415019,1.125370165,3.948826093,1.478368338,12.31465218,0.5430788751,0.2717471487,0.2730313884,0.3997047229,0,4.490782769,0.8148260238,1,0.6356723061,3.886481969,1.674415019,5.655592275,14.40898233
FID_026_17,HET,pnd30,M,20.1,180,-1.9,17,N,,2.056204,0,2.60179,3.636964,16.32807,2.910847,0,1.675401,23.49398,2.459075,10.88154,0,5.982225,7.961895,0,13.06169,7.111773,6.416382,26.68142,10.13004,80.84602,3.725443,1.763439,1.895022,2.02239,0,27.69869,5.488882,5.659354,4.354096,23.49398,13.094,41.0597,93.90771,,1.625461,1.194762,2.695736,1.416368,3.307421,2.518825,2.365162,1.021228,3.223374,0.776385,2.835815,1.21241,450.636,52.52361,17.46868,19.63392,454.5337,116.087,77.62144,18.15549,27.00555,1.288335,1.158956,0.8908509,1.17984,0.1738078,3.541732,0.8849369,0.5894308,0.1891664,1.851428,6.351003,8.14326,8.149877,,0.363328394,0,0.4597326833,0.6426464929,2.885147315,0.5143426264,0,0.2960410322,4.15135367,0.4345151408,1.922753021,0,1.057050858,1.4068558,0,2.307982501,1.256640422,1.133765797,4.714569896,1.789964014,14.28537957,0.6582806094,0.3115972247,0.3348477582,0.3573535071,0,4.894320094,0.9698778341,1,0.7693627223,4.15135367,2.313691633,7.255192024,16.59336207
FID_029_24,HET,pnd30,M,18.8,180,-1.9,24,N,,11.79341,0,5.912785,14.10638,22.48222,7.979361,19.50043,7.306479,61.78686,7.050196,34.29744,0,0,0,0,17.97281,21.16437,10.07485,58.96289,16.83502,149.5491,15.87831,3.554414,2.5973,15.04806,0,78.03824,19.43273,29.15443,9.647497,81.28729,21.16437,69.03773,167.5219,,3.153245,1.717333,4.478734,3.398063,5.906374,4.947534,8.23121,2.364069,7.481672,2.090517,5.639819,1.610244,79.32441,61.9273,11.48745,31.47385,90.66879,40.46902,34.50188,16.07223,37.3421,3.041301,2.567528,2.034677,3.860615,0.2520836,6.986929,1.407793,1.309077,0.3363393,5.153097,3.281369,2.526908,6.371943,,0.4045151972,0,0.2028091443,0.4838503102,0.7711424988,0.2736929173,0.6688667897,0.2506129943,2.119295764,0.2418224606,1.176405781,0,0,0,0,0.6164692638,0.7259401058,0.3455684093,2.022433297,0.5774429478,5.12954978,0.5446276947,0.1219167722,0.08908766181,0.5161500328,0,2.676719799,0.6665446726,1,0.3309101567,2.788162554,0.7259401058,2.368001364,5.746018701
FID_030_17,WT,pnd30,F,18.1,180,-2,17,N,,2.022828,0,2.27783,5.114167,16.43448,6.88833,0,1.188449,31.97189,2.960167,13.81599,0,0,30.60088,0,26.1441,25.66431,12.7153,65.02778,17.45048,133.6626,4.771255,2.163543,1.958486,2.561672,0,35.4271,6.934798,7.67584,4.918652,31.97189,25.66431,108.344,159.8067,,2.587485,1.395648,3.629329,2.50376,6.317318,3.866856,3.505075,1.68372,5.98587,1.581758,4.68213,1.343033,81.11154,52.99946,15.81812,27.74695,94.64052,68.21112,79.74932,16.73528,36.99703,2.218062,2.007583,1.587513,2.796626,0.2133047,6.158616,1.443096,1.008688,0.2954244,2.804053,2.900675,9.10851,10.42853,,0.2635318089,0,0.2967531892,0.6662680567,2.141065994,0.8974040626,0,0.1548298297,4.165262694,0.3856473037,1.799931994,0,0,3.986649018,0,3.406024618,3.343518104,1.656535311,8.471747718,2.273429358,17.41341664,0.6215938581,0.2818640045,0.2551494038,0.3337318131,0,4.615403656,0.9034578626,1,0.6407965773,4.165262694,3.343518104,14.11493726,20.81944126
FID_031_22,WT,pnd30,M,19.6,180,-1.8,22,N,,10.44802,0,8.104787,14.91166,26.8205,12.235,33.1173,4.201848,61.06777,8.282669,35.41542,1.230034,0,8.988348,0,16.83711,29.73074,11.14963,61.01575,23.90248,131.5045,19.93124,2.496913,1.825882,12.74973,0,86.54192,22.42816,27.66139,10.10855,94.18508,29.73074,81.15372,148.3416,,3.402152,1.827448,4.417387,5.136248,5.682887,4.717009,8.258074,2.223488,7.221159,2.00319,5.393065,9.095937,138.5939,77.71966,18.87279,30.1021,137.2664,50.41719,66.23342,18.29282,35.88983,3.222643,2.421032,1.920367,5.908493,0.2502264,6.66478,1.395821,1.173542,0.3240381,5.038246,3.526011,2.98655,6.236073,,0.3777113153,0,0.2929999902,0.5390784773,0.9696005877,0.4423132749,1.197239184,0.1519029955,2.207689852,0.2994306866,1.280319608,0.04446754122,0,0.3249420221,0,0.6086863314,1.074810051,0.4030755504,2.205809253,0.8641098658,4.754081411,0.7205436892,0.09026708347,0.06600832424,0.4609215227,0,3.128617904,0.8108110258,1,0.3654389747,3.404929398,1.074810051,2.933826536,5.362767381
FID_035_22,HET,pnd30,F,17.6,180,-1.8,22,N,,2.600629,0,3.304715,5.552296,16.68559,6.212916,0,3.663415,32.62619,3.363007,9.556008,0,0,0,0,21.62994,18.95417,11.35049,41.67732,7.16492,111.1282,5.457738,2.664666,2.444802,3.870973,0,38.31195,8.122403,9.423269,5.807809,32.62619,18.95417,53.02781,132.7581,,1.747006,1.271206,2.82733,1.45781,3.100382,2.817202,2.571203,1.265547,3.57268,0.9854179,2.923705,1.206698,99.58895,45.8206,8.78683,21.49025,117.2259,41.03858,33.92967,16.69976,29.05281,1.385411,1.262009,0.8919825,1.523927,0.1869088,4.011796,0.8668047,0.7275496,0.1869595,1.987193,2.5374,1.944925,8.842854,,0.2759794929,0,0.3506973005,0.5892112387,1.770679581,0.6593164219,0,0.388762647,3.462300609,0.3568832642,1.014086301,0,0,0,0,2.295375416,2.011421939,1.204517243,4.422809112,0.7603433586,11.79295635,0.5791767167,0.2827751176,0.2594430871,0.4107887613,0,4.065675086,0.8619517282,1,0.6163263513,3.462300609,2.011421939,5.627326356,14.08832752
FID_037_18,WT,pnd70,M,26.8,180,-1.8,18,N,,0.4703405,0,2.107586,7.89498,26.26707,10.86224,0,4.132514,52.97147,4.436485,13.28008,3.032598,18.69108,7.577462,0,37.66857,7.704317,6.852943,39.32439,23.02708,119.2453,6.633223,3.193086,3.503073,6.35819,0,56.73762,9.826309,14.25317,7.939558,52.97147,26.3954,53.7548,156.9139,,2.184512,1.954555,4.020863,2.177488,4.23819,4.339266,3.669678,1.881574,5.49615,1.52285,4.256546,5.388445,213.2516,87.52562,23.1261,30.47746,204.6226,87.23847,69.64562,22.65623,43.11212,1.986371,1.915279,1.388221,2.419629,0.2656719,5.981415,1.229087,1.070355,0.2752429,2.981468,8.287472,4.356857,13.23364,,0.03299901004,0,0.1478678778,0.5539104634,1.842893195,0.7620929239,0,0.2899364843,3.716469389,0.3112630383,0.9317281699,0.2127665635,1.311363016,0.5316334542,0,2.642820509,0.5405335795,0.4808013235,2.758992561,1.615576044,8.366230109,0.4653858054,0.2240263745,0.2457750101,0.4460895366,0,3.980701837,0.6894121799,1,0.5570380484,3.716469389,1.851896806,3.771427689,11.00905272
FID_038_22,KO,pnd70,M,23.3,180,-1.8,22,N,,1.107996,0,3.271878,9.276214,17.57079,0,21.30641,4.044918,45.8949,4.542735,23.21504,0,2.015585,0,0,27.94498,13.2264,3.492807,34.81598,16.80296,91.64633,7.126183,3.958569,2.447582,8.855941,0,50.51589,11.08475,18.13216,6.990316,67.20131,15.24198,38.30879,119.5913,,1.878298,1.454753,3.331626,1.710646,3.790224,2.077652,5.322754,1.785696,4.701328,1.404242,3.986873,1.362314,44.59974,52.03905,9.8931,22.61295,55.59496,31.95069,28.64473,15.80652,30.81774,1.510502,1.786555,1.240813,2.099421,0.2025907,5.07102,0.839901,0.9207064,0.2275514,3.57702,7.503273,2.522612,11.59443,,0.06110667455,0,0.1804461245,0.5115890219,0.9690400923,0,1.175061879,0.2230797655,2.531132529,0.2505346853,1.280324021,0,0.1111607773,0,0,1.541183179,0.7294442582,0.1926304974,1.92012314,0.9266937861,5.054352598,0.3930134634,0.2183175639,0.1349856829,0.4884107023,0,2.785983027,0.611330917,1,0.3855203131,3.706194408,0.8406047597,2.112753803,6.595535226
FID_039_24,KO,pnd70,F,17.7,180,-1.8,24,N,,6.996062,0,4.081088,9.050055,28.15266,2.977696,18.19394,5.970746,45.40118,4.93227,21.50112,0,0,0,0,26.78979,14.06785,0,42.17736,11.1713,117.9253,8.478128,4.244221,2.525814,9.043688,0,59.29153,12.72235,18.09374,7.458084,63.59513,14.06785,42.17736,144.7151,,2.408492,1.201477,3.733893,1.881322,4.090683,3.978691,5.79396,1.997765,4.887346,1.509539,4.413355,1.178591,68.94598,17.33738,6.330763,25.84315,80.80126,7.73586,14.23473,13.55539,35.05617,1.724603,1.872809,1.38594,2.265416,0.2257959,5.565105,0.9845099,0.9935985,0.2536756,3.860061,2.676276,1.36782,12.20889,,0.38665649,0,0.2255524839,0.5001760277,1.55593371,0.1645705089,1.005537827,0.3299895986,2.509220316,0.2725953838,1.18831817,0,0,0,0,1.480610974,0.7774981845,0,2.331047091,0.617412431,6.517464051,0.4685669187,0.2345684751,0.139596015,0.4998241381,0,3.276908478,0.7031354491,1,0.4121913988,3.514758696,0.7774981845,2.331047091,7.998075578
FID_040_21,KO,pnd70,F,19,180,-1.8,21,N,,5.319022,0,3.909088,8.755532,15.59448,0.7366451,7.435008,4.48853,50.39768,4.216041,18.69648,0.6530924,3.298618,0,0,34.14297,17.15609,7.448375,40.17795,16.28889,124.8378,6.964846,3.496055,2.396439,8.421291,0,49.84778,10.4609,17.17682,6.61248,57.83269,20.45471,47.62633,158.9808,,1.969633,1.534192,3.2205,1.591366,3.318335,3.276768,4.753357,1.686577,4.391549,1.095816,3.756752,4.080008,49.34125,77.11102,15.82144,23.10294,60.92296,44.96375,35.70444,16.93187,31.94023,1.447231,1.416397,1.014601,1.862023,0.2077306,4.595237,0.8855753,0.8533355,0.2049307,3.354191,7.935045,2.992553,10.66115,,0.3096627897,0,0.2275792609,0.5097295076,0.9078793397,0.04288599985,0.4328512495,0.2613132116,2.934051821,0.2454494487,1.088471556,0.03802172928,0.1920389222,0,0,1.987735215,0.998793141,0.4336294495,2.339079643,0.9483064968,7.267806264,0.4054793611,0.2035333083,0.1395158708,0.4902706671,0,2.902037746,0.6090126112,1,0.3849653195,3.366903187,1.19083218,2.772709384,9.255543226
