name,genotype,age,sex,weight,rotation,shift,thal file,mrsthal_exclude,,CrCH2,Ala,Asp,Cr,GABA,Glc,Gln,GSH,Glu,GPC,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,sIns,Tau,tNAA,tCr, tCho,Glx,tLM09,tLM13,tLM20,,CrCH2_stdev,Ala_stdev,Asp_stdev,Cr_stdev,GABA_stdev,Glc_stdev,Gln_stdev,GSH_stdev,Glu_stdev,GPC_stdev,Ins_stdev,Lac_stdev,Lip09_stdev,Lip13a_stdev,Lip13b_stdev,Lip20_stdev,MM09_stdev,MM12_stdev,MM14_stdev,MM17_stdev,MM20_stdev,NAA_stdev,NAAG_stdev,PCh_stdev,PCr_stdev,sIns_stdev,Tau_stdev,tNAA_stdev,tCr_stdev, tCho_stdev,Glx_stdev,tLM09_stdev,tLM13_stdev,tLM20_stdev,,CrCH2_tCR,Ala_tCR,Asp_tCR,Cr_tCR,GABA_tCR,Glc_tCR,Gln_tCR,GSH_tCR,Glu_tCR,GPC_tCR,Ins_tCR,Lac_tCR,Lip09_tCR,Lip13a_tCR,Lip13b_tCR,Lip20_tCR,MM09_tCR,MM12_tCR,MM14_tCR,MM17_tCR,MM20_tCR,NAA_tCR,NAAG_tCR,PCh_tCR,PCr_tCR,sIns_tCR,Tau_tCR,tNAA_tCR,tCr_tCR,tCho_tCR,Glx_tCR,tLM09_tCR,tLM13_tCR,tLM20_tCR
FID_017_17,HET,pnd70,F,21.1,180,-2.1,17,N,,10.58886,0,11.78298,17.97483,33.50079,4.078147,28.18886,11.3675,63.09376,10.20783,40.7834,0,0,13.2358,0,25.32398,30.4085,14.54552,61.55387,28.17423,132.3731,9.185505,7.798328,3.409266,8.438579,0,87.30489,16.98383,26.41341,13.6171,91.28262,30.4085,89.33519,157.6971,,3.986763,2.398122,5.118536,11.1174,5.30037,5.725472,6.920584,2.981222,6.666632,2.487811,6.299683,2.277253,102.7598,112.1945,26.18169,36.44618,114.0103,177.1101,108.9787,19.5651,41.92216,2.668774,2.917901,2.2277,8.852795,0.3311827,7.787705,1.284282,1.277473,0.3852678,4.74477,4.628786,4.398902,6.668733,,0.4008895481,0,0.4460984023,0.6805191,1.268325067,0.1543968386,1.06721775,0.4303685136,2.3887018,0.3864639212,1.544041455,0,0,0.5011015238,0,0.9587546629,1.151252337,0.5506869427,2.330402246,1.066663865,5.011586917,0.3477591496,0.295241243,0.1290733003,0.3194808622,0,3.305324455,0.643000279,1,0.5155373729,3.45591955,1.151252337,3.382190713,5.970342337
FID_019_13,WT,pnd70,F,17.4,180,-1.7,13,N,,6.267744,0,0,5.46239,15.81034,0,20.47036,0,5.397548,0,0.921778,1.745763,0,0,0,0,0,24.69722,25.7718,0,0,0,0,0,0,0.9811832,2.360515,0,5.46239,0,25.86791,0,50.46902,0,,1.989441,1.356672,1.586721,5.010868,4.169086,2.54358,5.86415,0.7954982,2.935911,0.4585806,2.673847,2.956475,4.832797,37.52265,8.168503,6.151894,5.170458,43.38057,31.90372,4.651823,7.048004,0.4025997,0.4188363,0.4563047,4.392737,0.502861,2.170319,0.295115,0.4845569,0.07225617,2.705104,0.9600821,2.620085,3.450066,,1.147436196,0,0,1,2.894399704,0,3.74750979,0,0.9881293719,0,0.1687499428,0.3195969164,0,0,0,0,0,4.521321253,4.718044665,0,0,0,0,0,0,0.1796252556,0.4321395946,0,1,0,4.735639528,0,9.239365919,0
FID_027_13,HET,pnd30,F,18.1,180,-2,13,N,,6.238326,0,7.605993,6.599524,12.59917,0,0,0,29.26555,2.117972,25.30706,0,25.27367,27.30653,0,31.08954,13.25016,19.45477,63.7146,26.32928,207.8539,7.194305,2.518852,0.7338476,3.634005,0,24.6193,9.713157,10.23353,2.85182,29.26555,38.52382,110.4759,238.9435,,3.189259,1.681408,4.671764,3.139917,7.086138,2.515447,4.010357,0.9844635,7.331402,1.678713,6.475862,1.84215,549.9091,179.5002,20.02895,32.16465,557.6308,106.6895,138.2251,20.54897,43.47757,2.725571,2.304079,1.670924,3.450376,0.2525568,6.660667,1.585454,1.186361,0.3074468,3.190139,9.10414,10.25963,13.68184,,0.6095966885,0,0.7432423611,0.6448922317,1.23116559,0,0,0,2.859770773,0.2069639704,2.47295508,0,2.469692276,2.668339273,0,3.038007413,1.294779025,1.901081054,6.226062756,2.572844366,20.31106568,0.7030130366,0.2461371589,0.07171011371,0.3551076706,0,2.405748554,0.9491501955,1,0.2786741232,2.859770773,3.764470325,10.79548308,23.34907896
FID_029_14,HET,pnd30,M,18.8,180,-1.8,14,N,,3.219022,0,17.74539,12.62656,36.07107,3.908816,23.00101,1.568643,67.05273,5.141449,35.88045,0,0,2.518078,0,0,54.45302,26.12469,90.69951,38.16537,201.6597,20.40318,15.51241,3.656528,15.82487,0,44.35789,35.91559,28.45143,8.797977,90.05374,54.45302,119.3423,201.6597,,3.084977,2.263037,5.498187,11.81685,6.341627,5.584302,9.507149,2.656988,7.628095,2.421389,6.200656,2.132938,91.48885,75.05838,13.29579,11.4034,103.8494,46.1386,52.1515,20.58893,21.84257,2.731134,3.625866,2.276167,12.06855,0.3291244,7.754481,1.884194,1.309365,0.3775782,6.488458,4.337704,2.424422,9.139091,,0.3658820658,0,2.016985268,1.435166289,4.099927745,0.4442857716,2.61435214,0.1782958742,7.621380461,0.5843899115,4.0782614,0,0.2862110233,0,0,6.18926601,2.969397397,10.30913243,4.337971104,22.92114426,2.319076306,1.763179194,0.4156100885,1.798694177,0,5.041828366,4.0822555,3.233860466,1,10.2357326,6.18926601,13.56474335,22.92114426,0
FID_031_14,WT,pnd30,M,19.6,180,-1.8,14,N,,4.006996,0,11.71268,11.93145,30.56025,19.02877,6.870865,4.456911,46.43534,4.482878,20.16172,0,30.27621,14.22943,0,28.98623,14.71086,18.3913,64.00272,35.70567,170.3061,14.54291,7.591708,3.57188,8.507527,0,44.06944,22.13462,20.43898,8.054758,53.3062,44.98707,96.62345,199.2923,,2.811884,2.12699,4.942319,2.493443,5.3771,5.396202,6.75211,2.218797,6.067683,1.72724,5.275863,1.991607,23.00707,99.90704,23.43871,37.22679,7.671552,142.7919,85.41862,24.32114,50.66026,2.94069,2.773368,1.579682,2.882835,0.3001138,6.062969,1.840862,1.310908,0.3205856,4.522234,9.258217,5.95734,14.55739,,0.1960467695,0,0.573055994,0.5837595614,1.495194476,0.9310038955,0.3361647695,0.218059365,2.271901044,0.2193298296,0.9864347438,0,1.481297501,0.696190808,0,1.418183784,0.7197453102,0.8998149614,3.131404796,1.746939916,8.332416784,0.7115281682,0.371432821,0.1747582316,0.4162402918,0,2.156146735,1.082961087,1,0.3940880611,2.608065569,2.201042811,4.727410565,9.7505991
FID_038_12,KO,pnd70,M,23.3,180,-1.8,12,N,,2.019812,0,9.184493,17.09399,55.40093,0.7592575,38.23155,2.954043,71.02642,5.397998,45.61027,2.357988,2.803492,0,0,16.94733,42.97038,17.4637,62.28248,37.24541,147.1166,20.38329,14.71262,4.652368,16.6504,0,44.98937,35.09592,33.74439,10.05037,109.258,45.77388,79.74619,164.0639,,4.53973,2.772662,7.259972,4.873432,9.195442,7.368092,13.47301,3.479193,10.56403,2.920966,7.919274,11.21723,29.45245,134.3861,30.34907,52.21205,23.62031,65.28738,61.59789,21.33135,64.79647,5.359742,4.435388,3.061694,4.523824,0.4041476,9.382075,2.509059,1.873932,0.4940853,8.369552,4.352557,4.459341,11.6256,,0.05985623092,0,0.272178368,0.5065727962,1.641781938,0.02250025856,1.132974992,0.08754175138,2.104836389,0.1599672716,1.35164008,0.06987792638,0.08308023941,0,0,0.5022265923,1.273408113,0.5175289878,1.845713613,1.103751172,4.359735055,0.6040497398,0.4360019547,0.1378708579,0.4934272038,0,1.333239984,1.040051991,1,0.2978382481,3.23781227,1.35648859,2.363242898,4.861960759
FID_041_27,WT,pnd70,M,25.4,180,-1.8,27,N,,2.313365,0,2.530143,9.034834,15.79879,5.280784,2.277654,4.641181,51.93181,0,17.53401,1.202123,8.778367,4.310635,0,50.44428,14.14585,6.008602,43.81011,19.99379,127.2612,6.223919,3.126053,5.827498,9.220421,0,55.56364,9.349971,18.25526,5.827498,54.20946,22.92422,54.12935,177.7055,,2.296725,1.959272,3.991597,2.091098,4.476767,4.0872,6.029805,2.119753,5.547413,2.105144,4.31584,5.20367,318.5982,86.32516,20.64808,28.30245,313.9695,67.46495,63.51457,22.72942,39.97969,1.736007,1.771547,2.206638,2.32375,0.2607027,5.625097,1.085965,1.125337,0.2163012,4.179421,8.701359,3.177335,14.05795,,0.126723202,0,0.138598026,0.4949167528,0.8654376875,0.2892746529,0.1247669987,0.2542380114,2.844758716,0,0.9604908394,0.06585077397,0.4808678156,0.2361311206,0,2.763273709,0.7748917298,0.3291436003,2.399862286,1.095234469,6.971207203,0.3409383926,0.1712412203,0.3192229527,0.5050829733,0,3.043705759,0.5121795581,1,0.3192229527,2.969525496,1.25575971,2.965137171,9.734482007
FID_043_13 ,HET,pnd70,F,15,180,-1.9,13,N,,7.537107,0,13.01104,14.35686,36.22753,0,37.82618,1.924126,67.86194,6.428676,39.74417,3.777205,32.93866,0,0,0,10.87263,12.29797,57.39041,31.11791,150.5174,26.92065,5.304234,3.802337,17.08677,0,44.53509,32.22488,31.44364,10.23101,105.6881,43.81129,69.68839,150.5174,,5.153006,2.446021,5.785676,51.74854,7.539907,3.322295,11.67885,2.799992,9.019065,2.75352,6.901668,11.9557,22.131,144.9332,28.66696,11.71084,13.24231,85.93001,57.61472,22.16679,20.35383,4.42517,3.521162,2.790207,51.62613,0.3346508,8.369547,1.833474,1.247368,0.3939213,6.103964,2.785569,3.019617,7.273227,,0.2397021146,0,0.4137892432,0.4565902675,1.152141737,0,1.202983497,0.06119285172,2.158208782,0.204450757,1.263981206,0.1201262004,1.047546022,0,0,0,0.3457815317,0.3911115253,1.825183408,0.9896408304,4.786894901,0.8561556486,0.1686902025,0.1209254717,0.5434094144,0,1.416346517,1.024845724,1,0.3253761333,3.361191643,1.393327554,2.216295251,4.786894901
FID_045_12,HET,pnd70,M,23.5,180,-1.8,12,N,,4.253783,0,7.89471,18.62792,52.09603,0,33.31652,2.830483,87.52757,5.149754,51.63812,6.171497,0,0,0,18.58842,48.05387,27.84959,69.41068,36.43871,178.86,22.85058,13.41837,6.056273,14.2374,0,46.67814,36.26895,32.86532,11.20603,120.8441,48.05387,97.26027,197.4484,,4.197573,2.583455,6.755793,4.415716,9.432714,3.854788,12.37351,3.231426,10.87904,2.738227,8.077278,11.03819,35.72913,128.1661,28.75162,49.25548,30.80787,62.03595,58.22819,20.01645,60.56301,5.219793,4.366576,2.926178,4.125925,0.3705001,9.037543,2.224376,1.769749,0.4477231,7.720119,5.161522,3.836986,10.37784,,0.1294307495,0,0.2402140007,0.5667956375,1.585136856,0,1.013728757,0.08612370121,2.663219771,0.1566926474,1.571203932,0.1877814365,0,0,0,0.5655937627,1.462145204,0.847385329,2.111973351,1.108728289,5.442210817,0.6952794009,0.4082835646,0.1842754916,0.4332043625,0,1.420285578,1.103562965,1,0.3409682303,3.676948832,1.462145204,2.95935868,6.007803971
FID_052_16,KO,pnd70,M,22.5,180,-1.8,16,Y,,3.429964,0,12.29099,12.09283,38.62787,8.371276,24.9065,3.08856,66.42735,6.309172,32.5177,0,19.38349,0,0,11.24049,30.99638,14.5347,62.98134,43.00458,162.167,20.75498,15.90061,2.892177,20.07426,0,47.47849,36.65559,32.16709,9.201349,91.33385,50.37987,77.51603,173.4075,,4.148102,2.861282,7.46089,13.03296,7.642397,7.001134,11.28424,3.707901,9.427609,3.020468,7.424795,2.672437,3.749468,101.3789,19.30972,48.64994,11.39129,63.19942,54.30613,22.70704,62.3527,3.836982,5.627369,2.720537,14.15927,0.4195912,9.37216,2.285287,1.956527,0.457291,7.406534,3.834045,3.475618,9.013779,,0.1066296019,0,0.3820982874,0.375937954,1.200850621,0.2602434973,0.7742851467,0.09601614569,2.065071786,0.1961374809,1.010899649,0,0.6025876136,0,0,0.3494406861,0.9636053494,0.4518500119,1.957943351,1.336912354,5.041394792,0.6452240473,0.4943129764,0.08991105506,0.624062046,0,1.475995808,1.139537024,1,0.2860485359,2.839356933,1.566192963,2.409793052,5.390835789
