name,genotype,age,sex,weight,rotation,shift,thal file,CC file,mrsthal_exclude,mrscc_exclude,exclusion reason,,CrCH2,Ala,Asp,Cr,GABA,Glc,Gln,GSH,Glu,GPC,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,sIns,Tau,tNAA,tCr, tCho,Glx,tLM09,tLM13,tLM20,,CrCH2_stdev,Ala_stdev,Asp_stdev,Cr_stdev,GABA_stdev,Glc_stdev,Gln_stdev,GSH_stdev,Glu_stdev,GPC_stdev,Ins_stdev,Lac_stdev,"Lip09_stdev,","Lip13a_stdev,","Lip13b_stdev,",Lip20_stdev,MM09_stdev,MM12_stdev,MM14_stdev,MM17_stdev,"MM20_stdev,",NAA_stdev,NAAG_stdev,"PCh_stdev,",PCr_stdev,"sIns_stdev,",Tau_stdev,"tNAA_stdev,",tCr_stdev, tCho_stdev,Glx_stdev,tLM09_stdev,"tLM13_stdev,",tLM20_stdev,,CrCH2_tCR,Ala_tCR,Asp_tCR,Cr_tCR,GABA_tCR,Glc_tCR,Gln_tCR,GSH_tCR,Glu_tCR,GPC_tCR,Ins_tCR,Lac_tCR,Lip09_tCR,Lip13a_tCR,Lip13b_tCR,Lip20_tCR,MM09_tCR,MM12_tCR,MM14_tCR,MM17_tCR,MM20_tCR,NAA_tCR,NAAG_tCR,PCh_tCR,PCr_tCR,sIns_tCR,Tau_tCR,tNAA_tCR,tCr_tCR,tCho_tCR,Glx_tCR,tLM09_tCR,tLM13_tCR,tLM20_tCR
FID_005_36,KO,pnd70,F,18.3,0,0,36,26,N,N,inc,,19.81733,0,15.40346,22.93866,47.84457,1.267064,33.08412,0,52.0092,3.798585,31.02727,0,6.441119,0,0,0,65.12588,26.15798,85.39091,51.70145,180.9939,39.04525,8.168443,5.001497,10.08121,0,43.29819,47.21369,33.01987,8.800081,85.09333,71.567,111.5489,180.9939,,4.242522,2.293476,5.408236,14.36314,5.978516,6.038442,9.193103,1.501567,5.865352,2.828751,5.925062,2.174263,47.47791,82.92359,15.84043,12.16463,50.66481,51.98444,45.02047,19.11189,19.10253,4.765029,2.683573,2.899721,15.19082,0.3273775,7.318456,1.502438,0.942947,0.3562225,4.8624,2.770894,2.704082,5.663825,,0.6001637802,0,0.4664906312,0.6946926199,1.448963003,0.03837277373,1.001945798,0,1.57508797,0.1150393687,0.9396545171,0,0.1950679697,0,0,0,1.972323937,0.7921890668,2.58604622,1.565767824,5.481363191,1.182477399,0.2473796232,0.1514693123,0.3053073801,0,1.311276816,1.429856932,1,0.2665086507,2.577034071,2.167391937,3.37823559,5.481363191
FID_006_14,KO,pnd70,F,17.4,0,-1.65,14,23,N,N,inc,,0,0,2.665899,7.518694,32.90655,4.253016,14.44902,3.435223,50.14659,4.041181,14.46692,3.041242,33.00918,8.806895,0,45.67891,0,0,29.24321,26.34177,112.6339,6.921537,3.066786,3.750613,7.574786,0,42.85885,9.988323,15.09348,7.791794,64.59561,33.00918,38.0501,158.3128,,1.562947,2.03894,4.056219,2.26849,4.137612,4.196061,5.301381,1.844304,5.417575,1.299268,4.578684,4.897448,78.82334,95.39735,12.78081,30.36039,69.07223,38.76428,84.04508,24.32807,43.56501,2.01241,1.98257,1.18471,2.348906,0.2832599,5.496838,1.260573,0.9904379,0.2843647,3.776529,3.274025,6.571081,14.60257,,0,0,0.1766258676,0.4981418467,2.180183099,0.2817783573,0.9573020934,0.2275964854,3.322400798,0.2677434892,0.9584880359,0.2014937576,2.186982724,0.5834900235,0,3.026400141,0,0,1.937473002,1.745241654,7.46242086,0.4585779423,0.203186144,0.2484922629,0.5018581533,0,2.839560525,0.6617640862,1,0.5162357521,4.279702892,2.186982724,2.520962694,10.48882034
FID_006_23,KO,pnd70,F,17.4,0,-1.65,14,23,N,N,inc,,1.748123,0,3.88598,7.319723,13.49616,6.388243,19.35152,4.110553,39.26105,5.642452,24.01908,1.045095,2.326092,0,0,19.35056,5.422847,7.393003,20.25771,12.21887,58.3891,5.960739,2.722092,1.433235,9.163431,0,47.9667,8.682831,16.48315,7.075686,58.61257,7.748939,27.65072,77.73967,,1.810891,1.211955,2.936435,7.391985,3.841168,3.238328,5.008668,1.485678,4.695165,1.460813,3.617796,5.030462,14.7597,63.16218,13.47837,19.80881,10.51087,35.66166,26.84663,14.15745,26.2211,1.86202,1.967029,1.292445,7.452695,0.1738874,4.565794,0.764064,0.8504519,0.2254795,3.28983,2.086824,1.960531,9.823394,,0.1060551533,0,0.2357546949,0.4440730686,0.8187852443,0.3875620255,1.174018316,0.2493790932,2.381889991,0.3423163655,1.457189918,0.06340383968,0.1411193856,0,0,1.173960074,0.328993366,0.4485188207,1.228995065,0.7412945948,3.542350825,0.3616262062,0.1651439197,0.08695152322,0.5559271741,0,2.9100445,0.5267701259,1,0.4292678281,3.555908306,0.4701127515,1.67751431,4.716311506
FID_007_18,WT,pnd70,M,26,0,-2,18,25,N,N,inc,,5.759763,0,9.043836,15.188,31.88451,3.013325,39.5845,4.111225,83.87518,7.422095,40.02397,7.555199,7.530511,0,0,15.57459,47.20211,12.50244,65.87923,37.20117,167.5007,19.19559,7.808075,3.117782,21.62845,0,59.62228,27.00366,36.81645,10.53988,123.4597,54.73262,78.38167,183.0753,,3.337789,2.023958,4.995239,16.84222,6.178203,5.121841,8.981469,2.642,8.112396,2.177829,5.903634,9.519563,34.12541,119.2058,23.49497,33.49041,38.06024,71.16047,47.98771,20.0147,40.56635,3.658456,3.775493,2.042961,16.88957,0.2874589,7.219572,1.472859,1.49874,0.3550942,5.705195,2.358306,3.188788,7.528846,,0.1564453661,0,0.2456466063,0.4125329846,0.866039773,0.08184724491,1.075185141,0.1116681538,2.278198468,0.201597248,1.087121925,0.2052125884,0.2045420186,0,0,0.4230334538,1.282092923,0.3395884177,1.789396588,1.010449677,4.549615729,0.5213862282,0.2120811485,0.08468448207,0.5874670154,0,1.619446742,0.7334672409,1,0.2862818115,3.353384153,1.486634915,2.128985005,4.972649454
FID_007_25,WT,pnd70,M,26,0,-2,18,25,N,N,inc,,0.6588752,0,4.164241,7.234028,24.92832,6.925685,0,2.592823,54.87185,3.90218,13.99145,0,13.46951,6.755933,0,42.71398,14.38112,3.738357,69.47416,21.91597,149.2342,8.049381,4.271339,2.767822,5.527106,0,47.44663,12.32072,12.76113,6.670002,54.87185,27.85063,79.96845,191.9481,,2.572391,1.859816,4.388466,2.505953,5.401019,4.440449,3.95744,2.105295,6.540963,1.895097,4.532762,1.712335,337.7619,49.16612,16.01036,32.09931,330.8169,55.48943,66.09682,20.99744,44.84693,2.433574,2.430811,1.754368,2.756342,0.2643465,6.580854,1.531838,1.200446,0.3153034,3.358398,8.310554,4.095568,13.81465,,0.05163141509,0,0.3263222771,0.5668798923,1.9534571,0.5427172202,0,0.2031813013,4.299920932,0.3057863998,1.096411525,0,1.055510758,0.5294149499,0,3.347194175,1.126947222,0.2929487436,5.444201258,1.717400418,11.69443458,0.630773372,0.3347147941,0.2168947421,0.4331204212,0,3.718058667,0.965488166,1,0.5226811419,4.299920932,2.18245798,6.266564952,15.04162249
FID_008,KO,pnd70,M,24,N/A,N/A,N/A,N/A,Y,Y,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
FID_009_40,HET,pnd70,M,22.6,0,0,40,44,N,N,inc,,4.307904,0,9.488839,12.55708,36.31651,0,0,5.087862,61.69725,3.258944,29.19622,9.419277,1.298287,22.30138,0,32.26345,46.94143,16.24477,66.01917,37.21203,176.8024,14.65525,10.40247,3.691387,7.491645,0,34.57495,25.05772,20.04872,6.950332,61.69725,48.23971,104.5653,209.0659,,3.178969,2.501533,5.532267,2.828173,6.279754,3.26015,4.799743,2.378496,6.576422,1.88161,6.207928,7.67892,237.4843,111.4671,36.11011,41.08602,257.6048,144.4046,105.8016,29.17724,57.58762,3.095291,3.353433,1.778824,3.002811,0.3181572,6.559414,2.012295,1.453438,0.3386333,3.843015,4.047142,5.796687,17.05507,,0.2148717724,0,0.473289018,0.6263282643,1.811412898,0,0,0.2537749043,3.077366036,0.1625512252,1.456263542,0.46981937,0.06475660292,1.112359293,0,1.609252361,2.341367928,0.8102646952,3.292936906,1.856080089,8.818637798,0.7309818283,0.5188595581,0.1841208317,0.373671985,0,1.724546505,1.249841386,1,0.3466721067,3.077366036,2.406124181,5.215559896,10.42789265
FID_009_44 (E),HET,pnd70,M,22.6,0,0,40,44,N,N,ppr,,0.519982,0,0.7411156,1.983826,4.652289,0,0,0.45852,14.10658,0.8129321,4.266409,0.7363328,5.302345,1.728731,0,6.568425,2.303589,3.377408,14.895,7.2622,35.93672,1.40615,0.7308143,0.9321377,1.157798,0,9.642033,2.136964,3.141624,1.74507,14.10658,7.605934,20.00113,42.50515,,0.8231269,0.7254089,1.497757,0.8014147,1.684984,0.9412376,1.353907,0.6515634,2.153428,0.5379035,1.762772,1.989,167.3889,52.71136,10.22688,11.23347,158.5205,64.06075,28.32174,10.3158,15.92733,0.745121,0.7072178,0.4941238,0.7480039,0.09515665,2.161785,0.4677058,0.3962039,0.09593928,1.118574,4.054057,6.104879,4.789847,,0.1655137598,0,0.2359020685,0.6314651276,1.480854806,0,0,0.1459499927,4.490219071,0.2587617423,1.358026613,0.2343796712,1.687771993,0.5502666774,0,2.090773753,0.7332478362,1.075051629,4.741178448,2.311606991,11.43889912,0.4475869805,0.2326230956,0.2967056847,0.3685348724,0,3.069123803,0.6802099806,1,0.5554674907,4.490219071,2.421019829,6.36649389,13.52967446
FID_010_10 (E),WT,pnd70,M,22.1,0,0,10,16,N,N,ppr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
FID_010_16 (E),WT,pnd70,M,22.1,180,-2,10,16,N,N,ppr,,1.634499,0,3.068644,3.128785,3.613392,0,9.982552,0.1833399,14.19125,1.123636,14.0857,0.7547818,2.006752,5.019247,0,10.77417,4.21457,3.035253,13.53915,5.988351,65.17098,2.14281,1.101565,0,1.354588,0.6584224,9.582062,3.244375,4.483373,1.123636,24.1738,6.221323,21.59365,75.94515,,1.258608,0.90496,2.031334,1.122375,2.910355,1.340763,3.445312,0.8835243,3.529878,0.786936,2.996822,3.605208,116.2172,53.38434,13.40715,13.78562,119.4926,63.01026,40.54264,12.63109,18.63647,0.8469695,1.017457,0.5646783,1.197828,0.3432499,2.787782,0.5117114,0.5319638,0.09523998,2.299768,4.83274,7.637724,7.024133,,0.3645690421,0,0.6844498551,0.6978640858,0.8059539101,0,2.226571824,0.04089329619,3.165306567,0.2506229127,3.141764025,0.1683513283,0.4475987164,1.119524742,0,2.403139333,0.940044471,0.6770021143,3.01985804,1.335679855,14.53614946,0.4779459572,0.2457000566,0,0.3021359142,0.1468587155,2.13724399,0.7236460138,1,0.2506229127,5.391877945,1.38764341,4.816384896,16.93928879
